단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
007540,KR7007540008,샘표,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,46100,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,1939,1000,19760629,2875,2875800000,12.0,,0,,N,N,Y,2006,-3,26,30,2.26,20240630.0,1325,,N,N,N
007570,KR7007570005,일양약품,ST,3.0,0,9,0,Y,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,13540,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,60812,2500,19740828,19085,47714160000,12.0,,0,,N,N,Y,1612,55,53,45,2.73,20240630.0,2584,,N,N,N
007575,KR7007571003,일양약품우,ST,0.0,0,9,0,Y,Y,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,12290,1,1,N,N,Y,0,N,N,N,0,0,0,100,N,90,410,2500,19891221,445,1112700000,12.0,,1,,N,N,N,0,0,0,0,0.0,,54,,N,N,N
007590,KR7007590003,동방아그로,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6140,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2136,500,19770629,13617,6808788500,12.0,,0,,N,N,Y,1390,225,212,167,20.06,20240630.0,836,,N,N,N
007610,KR7007610009,선도전기,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3000,1,1,Y,N,N,0,N,N,N,0,0,0,100,N,90,0,500,19891130,18000,9000000000,12.0,,0,,N,N,Y,129,-37,115,115,81.64,20240630.0,540,,N,N,N
007660,KR7007660004,이수페타시스,ST,2.0,0,13,0,Y,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,37550,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,2556805,1000,20031007,63246,63246419000,12.0,,0,,N,Y,Y,4044,505,483,396,27.96,20240630.0,23749,,N,N,N
007690,KR7007690001,국도화학,ST,3.0,0,8,0,Y,N,N,0,N,N,Y,,N,N,N,N,N,N,N,Y,N,0,N,N,N,N,N,N,N,N,31250,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,19348,5000,19890805,9010,45053080000,12.0,,0,,N,N,Y,6392,117,77,40,0.95,20240630.0,2815,,N,N,N
007700,KR7007700008,F&F홀딩스,ST,2.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,13490,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,4193,500,19841004,39114,19557183500,12.0,,0,,N,N,Y,8998,2061,2136,1561,4.78,20240630.0,5276,,N,N,N
007810,KR7007810005,코리아써키트,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,12130,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,1891445,500,19850909,23620,11810375500,12.0,,0,,N,N,Y,7303,-137,-60,-22,-6.91,20240630.0,2865,632,N,N,N
007815,KR7007811003,코리아써우,ST,0.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6110,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,77079,500,19890704,2964,1482345000,12.0,,1,,N,N,N,0,0,0,0,0.0,,181,,N,N,N
00781K,KR700781K015,코리아써키트2우B,ST,0.0,0,13,0,Y,Y,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6120,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1590,500,20130617,783,391849500,12.0,,9,,N,N,N,0,0,0,0,0.0,,47,,N,N,N
007860,KR7007860000,서연,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,7190,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,46804,500,19890909,23479,11739922000,12.0,,0,,N,N,Y,21946,1312,1517,1198,20.17,20240630.0,1688,,N,N,N
007980,KR7007980006,TP,ST,3.0,0,6,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1380,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,106537,500,19941227,51175,26468642500,12.0,,0,,N,N,Y,4609,210,19,11,1.21,20240630.0,706,,N,N,N
008040,KR7008040008,사조동아원,ST,3.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,992,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,464486,500,19890624,141144,70572300000,12.0,,0,,N,N,Y,6785,386,166,107,4.53,20231231.0,1400,,N,N,N
008060,KR7008060006,대덕,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6130,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,63679,500,19890126,33890,16945075000,12.0,,0,,N,N,Y,6568,141,370,298,4.17,20240630.0,2077,,N,N,N
00806K,KR700806K010,대덕1우,ST,0.0,0,21,0,N,Y,,0,N,N,N,,N,N,,,,,N,,,0,,,N,,,,,,6270,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,717,500,20181219,1212,606178500,12.0,,9,,N,N,N,0,0,0,0,0.0,,76,,N,N,N
