단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,벤처기업,저유동성,KRX,ETP,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,투자주의,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,KOSDAQ150,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
301300,KR7301300000,바이브컴퍼니,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4570,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,33874,500,20201028,12394,6197430500,12,,0,,N,N,118,-51,-81,-81,-25,20240630.0,566,,N,N,N
302430,KR7302430004,이노메트리,ST,3.0,0,1009,1027,,N,N,,N,,,,,N,,,0,,,N,,,,,N,10350,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,466983,500,20181212,9833,4916604000,12,,0,,N,N,306,23,50,48,14,20240630.0,1017,,N,N,N
302550,KR7302550009,리메드,ST,3.0,0,1009,1029,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2995,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,49649,100,20191206,30638,3063808000,12,,0,,N,N,131,12,9,8,6,20240630.0,917,,N,N,N
303030,KR7303030001,지니틱스,ST,3.0,0,1009,1028,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1387,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,58248,100,20180830,35745,3574566800,12,,0,,N,N,331,-60,-59,-59,-31,20231231.0,495,,N,N,N
303360,KR7303360002,프로티아,ST,3.0,0,1009,1029,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,17555,500,20230616,12877,6438607500,12,,0,,N,N,82,2,5,5,2,20231231.0,386,,N,N,N
303530,KR7303530000,이노뎁,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,7600,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,14858,500,20210618,7339,3669649500,12,,0,,N,N,362,-54,-53,-53,-29,20240630.0,557,,N,N,N
304100,KR7304100001,솔트룩스,ST,2.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,14670,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,32523,500,20200723,12130,6065284000,12,,0,,N,N,190,-96,-86,-86,-22,20240630.0,1779,,N,N,N
304360,KR7304360001,에스바이오메딕스,ST,2.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,Y,,,,,N,34300,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,247006,500,20230504,11474,5737238000,12,,0,,N,N,59,-30,-56,-57,-258,20240630.0,3935,,N,N,N
304840,KR7304840002,피플바이오,ST,3.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3675,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,205747,500,20201019,21089,10544732000,12,,0,,N,N,21,-63,-69,-69,-77,20240630.0,775,,N,N,N
305090,KR7305090003,마이크로디지탈,ST,3.0,0,1009,1029,,N,N,,N,,,,,N,,,0,,,N,,,,,N,15700,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,581857,500,20190605,15915,7957507000,12,,0,,N,N,108,9,6,6,8,20231231.0,2498,,N,N,N
306040,KR7306040007,에스제이그룹,ST,3.0,0,1009,1020,,N,N,,N,,,,,N,,,0,,,N,,,,,N,5930,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,27589,500,20191118,9865,4932914000,12,,0,,N,N,1005,38,38,22,4,20240630.0,585,,N,N,N
306620,KR7306620006,네온테크,ST,3.0,0,1009,1027,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2110,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,469303,100,20181031,42608,4260814900,12,,0,,N,N,697,50,59,44,11,20240630.0,899,,N,N,N
307180,KR7307180000,아이엘사이언스,ST,3.0,0,1009,1028,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3220,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,128360,100,20181221,26701,2670169800,12,,0,,N,N,464,46,62,57,99,20240630.0,859,,N,N,N
307280,KR7307280008,원바이오젠,ST,3.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1362,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,50973,100,20181205,36959,3695901300,12,,0,,N,N,151,32,33,27,16,20240630.0,503,,N,N,N
307750,KR7307750000,국전약품,ST,2.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4420,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,95889,100,20181219,49069,4906926900,12,,0,,N,N,730,20,31,29,7,20240630.0,2168,,N,N,N
307870,KR7307870006,비투엔,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1543,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,566623,100,20181212,45297,4529787900,12,,0,,N,N,131,-30,-65,-65,-77,20240630.0,698,,N,N,N
307930,KR7307930008,컴퍼니케이,ST,3.0,0,1014,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,5520,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,4835836,500,20190523,15610,9755000000,12,,0,,N,N,159,-50,-52,-57,-8,20231231.0,861,,N,N,N
308080,KR7308080001,바이젠셀,ST,3.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3855,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,35710,500,20210825,19263,9631870000,12,,0,,N,N,1,-80,-72,-72,-21,20240630.0,742,,N,N,N
308100,KR7308100007,까스텔바작,ST,3.0,0,1011,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3200,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,40476,500,20190610,6624,3312366500,12,,0,,N,N,242,-13,3,2,1,20240630.0,211,,N,N,N
309930,KR7309930006,오하임앤컴퍼니,ST,3.0,0,1011,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2075,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,72413,100,20181220,21290,2129099000,12,,0,,N,N,410,21,28,25,8,20231231.0,441,,N,N,N
